第1名的商品id:191499	购买量:2494
第2名的商品id:353560	购买量:2250
第3名的商品id:1059899	购买量:1917
第4名的商品id:713695	购买量:1754
第5名的商品id:655904	购买量:1674
第6名的商品id:67897	购买量:1572
第7名的商品id:221663	购买量:1547
第8名的商品id:1039919	购买量:1511
第9名的商品id:454937	购买量:1387
第10名的商品id:81360	购买量:1361
第11名的商品id:514725	购买量:1356
第12名的商品id:783997	购买量:1351
第13名的商品id:823766	购买量:1343
第14名的商品id:107407	购买量:1319
第15名的商品id:889095	购买量:1272
第16名的商品id:936203	购买量:1270
第17名的商品id:770668	购买量:1257
第18名的商品id:698879	购买量:1235
第19名的商品id:349999	购买量:1218
第20名的商品id:671759	购买量:1167
第21名的商品id:186456	购买量:1162
第22名的商品id:315345	购买量:1067
第23名的商品id:729259	购买量:1021
第24名的商品id:946001	购买量:1015
第25名的商品id:926069	购买量:1002
第26名的商品id:181387	购买量:1002
第27名的商品id:28895	购买量:983
第28名的商品id:89953	购买量:975
第29名的商品id:413046	购买量:965
第30名的商品id:944554	购买量:948
第31名的商品id:617878	购买量:927
第32名的商品id:676215	购买量:873
第33名的商品id:213297	购买量:864
第34名的商品id:15207	购买量:859
第35名的商品id:513855	购买量:842
第36名的商品id:49881	购买量:842
第37名的商品id:48664	购买量:831
第38名的商品id:179830	购买量:827
第39名的商品id:981145	购买量:815
第40名的商品id:441588	购买量:814
第41名的商品id:939915	购买量:805
第42名的商品id:764906	购买量:787
第43名的商品id:1025501	购买量:778
第44名的商品id:3001	购买量:765
第45名的商品id:147751	购买量:763
第46名的商品id:343432	购买量:758
第47名的商品id:141675	购买量:757
第48名的商品id:100215	购买量:745
第49名的商品id:722301	购买量:742
第50名的商品id:678194	购买量:732
第51名的商品id:526229	购买量:730
第52名的商品id:1100222	购买量:730
第53名的商品id:952198	购买量:725
第54名的商品id:846908	购买量:711
第55名的商品id:1102377	购买量:708
第56名的商品id:605027	购买量:707
第57名的商品id:201405	购买量:704
第58名的商品id:758374	购买量:698
第59名的商品id:15173	购买量:698
第60名的商品id:335720	购买量:695
第61名的商品id:110347	购买量:693
第62名的商品id:950987	购买量:687
第63名的商品id:834362	购买量:687
第64名的商品id:399879	购买量:685
第65名的商品id:81901	购买量:676
第66名的商品id:487805	购买量:668
第67名的商品id:203050	购买量:659
第68名的商品id:173776	购买量:659
第69名的商品id:1075577	购买量:659
第70名的商品id:796566	购买量:653
第71名的商品id:276750	购买量:650
第72名的商品id:735931	购买量:647
第73名的商品id:209821	购买量:647
第74名的商品id:779070	购买量:645
第75名的商品id:235204	购买量:640
第76名的商品id:318890	购买量:635
第77名的商品id:986262	购买量:634
第78名的商品id:886674	购买量:622
第79名的商品id:717309	购买量:616
第80名的商品id:386646	购买量:616
第81名的商品id:28186	购买量:615
第82名的商品id:376482	购买量:610
第83名的商品id:554408	购买量:603
第84名的商品id:772645	购买量:601
第85名的商品id:992011	购买量:598
第86名的商品id:784134	购买量:597
第87名的商品id:472166	购买量:595
第88名的商品id:825218	购买量:590
第89名的商品id:566407	购买量:585
第90名的商品id:982357	购买量:580
第91名的商品id:918348	购买量:580
第92名的商品id:293244	购买量:577
第93名的商品id:419724	购买量:571
第94名的商品id:256896	购买量:559
第95名的商品id:893999	购买量:554
第96名的商品id:870470	购买量:549
第97名的商品id:1042707	购买量:549
第98名的商品id:82431	购买量:548
第99名的商品id:1093758	购买量:545
第100名的商品id:1112049	购买量:543
